scan_id,room_label,location,noise_type,device_id,TotalUsedMem_d6_minus_d5_mean,TotalUsedMem_q2_std,TotalUsedMem_q3_std,TotalUsedMem_d6_min,TotalUsedMem_roll10_mean_std,TotalUsedMem_resid_std,TotalUsedMem_decile_mean_range,GpuUtil_q2_mean,TotalUsedMem_iqr,TotalUsedMem_range,TotalUsedMem_d8_minus_d7_mean,GpuUtil_d0_min,TotalUsedMem_half1_std,TotalUsedMem_d8_min,GpuUtil_p10,GpuUtil_d8_mean,TotalUsedMem_d7_min,GpuUtil_d2_min,TotalUsedMem_d7_std
hallway__Outside3410__noise0__scan01,hallway,Outside3410,0,2bfe9f80377e670fec89a36997162020,-330169.8888888657,273532.9751197539,79080.52540370502,144062356,180527.21847557407,195201.7213952776,648735.4666666687,0.2978565217391304,284584.0,861744,108861.22222223878,0.3007,210910.43289155167,144185780,0.2968,0.2981333333333333,144099444,0.2991,24281.077625728776
hallway__Outside3410__noise1__scan00,hallway,Outside3410,1,2bfe9f80377e670fec89a36997162020,-230561.77777779105,257991.2473564985,64944.56490285763,145070520,184923.60736938115,194427.3615118761,682916.0,0.3101272727272727,263528.5,897184,84426.44444444776,0.3081,200577.7197034852,145165216,0.3089,0.3132111111111111,145098076,0.3094,20835.57340490324
hallway__Outside3410__noise1__scan01,hallway,Outside3410,1,2bfe9f80377e670fec89a36997162020,-309603.33333334327,262245.19106716244,63766.80663017333,145137606,181243.1069605361,191759.3311888072,660812.177777797,0.3147826086956521,265227.0,874952,82353.77777776122,0.3135,202008.81089415168,145252402,0.3133,0.3175222222222222,145169218,0.3144,23587.132595946576
hallway__Outside3410__noise2__scan00,hallway,Outside3410,2,2bfe9f80377e670fec89a36997162020,-228618.22222220895,259583.5741374861,63819.42429488517,144824900,185048.62245645613,192498.6153594253,672266.6666666567,0.2660727272727272,255077.5,889190,79065.11111110449,0.262,202074.1153095646,144922296,0.26169,0.2704444444444445,144845722,0.264,22677.939686939037
hallway__Outside3410__noise2__scan01,hallway,Outside3410,2,2bfe9f80377e670fec89a36997162020,-234454.3333333135,262043.13604996965,65838.52941555808,145163288,183578.4873567357,193266.67561960145,660676.1111111045,0.2707454545454545,273741.5,882701,86111.77777776122,0.263,203622.00614650885,145269648,0.2639,0.2644,145183958,0.2998,21754.480184522115
kitchen__CEEDKitchen__noise0__scan00,kitchen,CEEDKitchen,0,2bfe9f80377e670fec89a36997162020,116026.33333331348,100252.95381616335,340938.1125963635,144981964,283545.48945631937,252592.13906216843,808380.444444418,0.3257652173913042,480544.0,1038279,-141743.22222220898,0.3235,258215.33373015595,144552492,0.3229,0.3255,145137548,0.3226,31067.18666867299
kitchen__CEEDKitchen__noise0__scan01,kitchen,CEEDKitchen,0,2bfe9f80377e670fec89a36997162020,140472.8888888955,104306.60457909852,317752.59147712664,144963636,279891.81980694004,237418.9704133288,809856.0,0.3231652173913044,457728.0,1058336,-142469.33333334327,0.3265,239385.014650293,144523588,0.323,0.3246222222222222,145117348,0.3249,32786.36098241365
kitchen__CEEDKitchen__noise1__scan00,kitchen,CEEDKitchen,1,2bfe9f80377e670fec89a36997162020,137838.8888888657,105367.7714899038,332298.8798396497,146401040,285754.0807690901,240866.0193317452,811427.3333333433,0.3452826086956522,466512.0,1065628,-50971.77777779102,0.3376,246909.73108471025,145999960,0.3398,0.343,146560358,0.3474,36280.93513570161
kitchen__CEEDKitchen__noise1__scan01,kitchen,CEEDKitchen,1,2bfe9f80377e670fec89a36997162020,165024.66666665673,112437.15279829672,350185.3437968614,146445616,314623.23713509203,252776.770013161,872010.4444444478,0.3483,502600.0,1329139,22749.88888889551,0.3442,259086.03326427555,146056428,0.3448,0.3496666666666667,146598252,0.3455,33915.29884146936
kitchen__CEEDKitchen__noise2__scan00,kitchen,CEEDKitchen,2,2bfe9f80377e670fec89a36997162020,144000.44444444776,108331.172666699,316433.8449355999,146183668,291633.143041178,237218.2537829807,840767.7777777612,0.3217608695652174,445491.0,1139136,-134645.55555555224,0.3012,239143.96631675784,145787440,0.2996,0.3012666666666667,146342676,0.3214,34076.819361228205
kitchen__CEEDKitchen__noise2__scan01,kitchen,CEEDKitchen,2,2bfe9f80377e670fec89a36997162020,144305.6666666865,109782.89864793394,335604.3780062451,146438412,290106.74627869105,243234.2260048804,808274.0,0.3379391304347826,469111.0,1094416,-51502.0,0.2999,250156.9621186005,146036486,0.3017,0.3095111111111111,146601844,0.3035,35249.78266424551
kitchen__Floor2Kitchen__noise0__scan00,kitchen,Floor2Kitchen,0,2bfe9f80377e670fec89a36997162020,147985.77777779102,105762.83221772456,198414.99199555215,145973532,255352.4584883134,247540.38283491592,860459.3777777851,0.3174826086956521,412128.0,1207400,-512088.8888888657,0.3212,263352.81075863057,145462748,0.3173,0.3173999999999999,145454364,0.3188,295718.9822306907
kitchen__Floor2Kitchen__noise0__scan01,kitchen,Floor2Kitchen,0,2bfe9f80377e670fec89a36997162020,145968.0,105956.132428394,197333.9810764517,145800820,251514.68512587543,237631.527188546,802384.5333333313,0.3235086956521739,399196.5,1058272,-510960.777777791,0.3239,262046.29796773617,145302580,0.3187,0.3185444444444444,145294228,0.3238,293784.2964818883
kitchen__Floor2Kitchen__noise1__scan00,kitchen,Floor2Kitchen,1,2bfe9f80377e670fec89a36997162020,145650.22222220898,106491.16152218476,189735.82019874285,146678894,248670.64594054772,223766.69982927947,796333.9111111164,0.337086956521739,374827.0,1059612,-478110.0,0.3294,241483.2230249475,146219774,0.3305,0.3419777777777777,146213560,0.3305,277853.4843546145
kitchen__Floor2Kitchen__noise1__scan01,kitchen,Floor2Kitchen,1,2bfe9f80377e670fec89a36997162020,150274.22222220898,116955.86391129046,193772.98843091715,146780418,255737.3551820768,230960.84038485904,813793.2555555403,0.3346521739130434,393597.0,1186429,-461565.1111111045,0.3284,249341.84573626705,146328920,0.3305,0.3406444444444444,146317574,0.3305,281097.15754749987
kitchen__Floor2Kitchen__noise2__scan00,kitchen,Floor2Kitchen,2,2bfe9f80377e670fec89a36997162020,145784.8888888955,106489.18163514664,186741.7718935044,146440496,249185.2469133061,227736.4826218751,797296.5111111104,0.3221391304347827,376755.0,1060750,-479500.0,0.2899,244640.0158396268,145968648,0.2899,0.3028333333333333,145965816,0.2825,277698.30761928903
kitchen__Floor2Kitchen__noise2__scan01,kitchen,Floor2Kitchen,2,2bfe9f80377e670fec89a36997162020,154400.0,110557.26807430132,198679.28222131063,146764422,256791.7459260309,240929.4094373081,844931.9444444478,0.2835260869565217,398956.0,1151062,-507818.6666666865,0.2958,260804.4491441901,146261400,0.2813,0.2929555555555556,146249404,0.2976,298175.8156613868
kitchen__Floor3Kitchen__noise0__scan00,kitchen,Floor3Kitchen,0,2bfe9f80377e670fec89a36997162020,146368.0,106067.47665487262,262554.8022994674,145026140,286171.2202009813,254032.43227909936,1046079.8333333432,0.2691217391304349,408976.0,1141864,-677706.6666666865,0.2731,263614.6182068395,144535196,0.2692,0.2711,145186268,0.2722,34480.09198234702
kitchen__Floor3Kitchen__noise0__scan01,kitchen,Floor3Kitchen,0,2bfe9f80377e670fec89a36997162020,127004.0,107548.83772701124,246113.4257258478,145000371,261750.8844758752,252276.10232204013,858174.7555555403,0.3190434782608696,431875.5,1095728,-628387.5555555522,0.3211,282701.0710877184,144463980,0.319,0.3207666666666666,144459884,0.3197,235282.85376972263
kitchen__Floor3Kitchen__noise1__scan00,kitchen,Floor3Kitchen,1,2bfe9f80377e670fec89a36997162020,154674.6666666865,111806.90275777847,222192.7922717581,145914888,257288.9609172712,229106.3457188199,844467.3555555642,0.3526826086956522,394998.0,1139972,-556124.8888888955,0.341,242968.8320916253,145468612,0.341,0.3543111111111111,145463504,0.341,210940.4545400911
kitchen__Floor3Kitchen__noise1__scan01,kitchen,Floor3Kitchen,1,2bfe9f80377e670fec89a36997162020,126165.11111110447,120119.1380011524,281097.3631064342,145801628,262984.84750564914,253995.3671086672,904370.9333333372,0.3446434782608696,427331.0,1264324,-642483.4444444478,0.342,285761.5097149213,145294480,0.3418,0.342,145290440,0.3418,266341.9735799156
kitchen__Floor3Kitchen__noise2__scan00,kitchen,Floor3Kitchen,2,2bfe9f80377e670fec89a36997162020,156025.1111111045,112435.66287492936,216237.07187817805,145759698,253872.99910634107,221726.0971388791,873481.1555555463,0.2779434782608697,386875.5,1101234,-539263.1111111045,0.3039,232450.730189948,145335064,0.2796,0.2926,145331856,0.2869,204312.8068858637
kitchen__Floor3Kitchen__noise2__scan01,kitchen,Floor3Kitchen,2,2bfe9f80377e670fec89a36997162020,157630.0,112754.51036768814,232517.7413827147,145736442,269480.84509460634,241807.37091548956,914162.5555555522,0.3124086956521739,380428.0,1150898,-590471.3333333433,0.2894,258087.9657708306,145260984,0.2862,0.2863,145255760,0.2942,221339.30302145772
kitchen__Floor4Kitchen__noise0__scan00,kitchen,Floor4Kitchen,0,2bfe9f80377e670fec89a36997162020,145555.55555555224,156135.91622541592,128395.23025113408,144813188,237006.97193899177,154236.8035128307,785272.0444444418,0.3332434782608696,432788.0,1103001,-32520.11111110449,0.3368,157697.01937748605,144482660,0.3331,0.3897666666666666,144449588,0.337,268855.7815731946
kitchen__Floor4Kitchen__noise0__scan01,kitchen,Floor4Kitchen,0,2bfe9f80377e670fec89a36997162020,143431.8888888657,104232.9133414604,320044.7230301546,145061668,272926.67525915435,237635.07102385547,902979.222222209,0.3341260869565218,439580.0,1101241,-409501.3333333135,0.3393,265714.298981858,144599028,0.3255,0.3273222222222222,145217492,0.3371,32577.63317839669
kitchen__Floor4Kitchen__noise1__scan00,kitchen,Floor4Kitchen,1,2bfe9f80377e670fec89a36997162020,150343.1111111343,107757.40238265344,313232.5489973184,145768602,275636.2545560044,238420.2175632752,922359.7444444596,0.3393826086956523,438768.0,1143099,-497826.0,0.3365,264248.61547506147,145297898,0.3385,0.3394999999999999,145921872,0.3412,74987.50691076052
kitchen__Floor4Kitchen__noise1__scan01,kitchen,Floor4Kitchen,1,2bfe9f80377e670fec89a36997162020,139352.66666665673,103269.87485208828,301980.32396452426,145818853,281057.49849509995,231509.1275436708,954337.4777777792,0.3515869565217391,456387.0,1170486,-388368.2222222388,0.3393,248067.57296724964,145385768,0.3394,0.3451,145975924,0.3418,33164.44795854533
kitchen__Floor4Kitchen__noise2__scan00,kitchen,Floor4Kitchen,2,2bfe9f80377e670fec89a36997162020,128395.22222220898,114475.73559705878,343395.4550632298,145816338,303256.0740450219,240123.97823035417,1005807.0888888836,0.2800434782608696,469104.0,1337985,-314240.66666668653,0.2922,265614.78625382413,145402326,0.2688,0.2651,145975464,0.2848,74086.61222956763
kitchen__Floor4Kitchen__noise2__scan01,kitchen,Floor4Kitchen,2,2bfe9f80377e670fec89a36997162020,122982.66666665672,106299.55491528244,293049.47969241266,145739040,290076.3845055123,243680.83593047503,981224.8888888956,0.2961217391304348,496249.0,1170152,-485819.1111111045,0.293,257569.0696275141,145270186,0.2688,0.3111666666666667,145875942,0.2683,35567.780477544075
lab__3215__noise0__scan00,lab,3215,0,2bfe9f80377e670fec89a36997162020,166857.33333334327,120101.5175962034,206461.9791854559,145313436,244781.6305702749,241840.97795845752,801705.7555555403,0.2879434782608696,399168.0,1143915,-522342.1111111045,0.2849,273194.1813662099,144797612,0.2852,0.2872555555555556,144789388,0.2878,296546.6091574231
lab__3215__noise0__scan01,lab,3215,0,2bfe9f80377e670fec89a36997162020,128927.11111110447,213434.9582587425,99060.0320794028,146114512,238362.66642118065,233846.45835856732,793521.0,0.2961086956521739,368524.5,1147483,-232613.1111111045,0.2965,247462.00029106357,145665876,0.2961,0.296888888888889,145621388,0.2989,345710.2084958541
lab__3215__noise1__scan00,lab,3215,1,2bfe9f80377e670fec89a36997162020,139744.22222223878,122584.8889232792,250868.6539754386,146019366,266098.84990048787,231637.1349213506,916274.722222209,0.2998434782608696,424089.5,1334007,-553823.444444418,0.3067,239717.84434942636,145560804,0.2967,0.2962777777777778,145559252,0.3062,236682.255878015
lab__3215__noise1__scan01,lab,3215,1,2bfe9f80377e670fec89a36997162020,147379.44444441795,112027.38562756967,224677.2485915736,146087568,259421.9641165421,247393.4662618271,820727.0222222209,0.3558434782608696,425530.5,1327335,-461624.1111111045,0.3413,263578.01000968704,145587132,0.3499,0.3562777777777777,145563306,0.3541,315379.09757693904
lab__3215__noise2__scan00,lab,3215,2,2bfe9f80377e670fec89a36997162020,146536.77777779102,129196.94647283843,247136.65878736117,146020380,268302.23198270734,236128.89528977865,919465.077777803,0.297095652173913,399097.5,1295225,-580127.0,0.3039,257179.25270281287,145586400,0.2942,0.3151,145578598,0.3038,241370.43502871392
lab__3215__noise2__scan01,lab,3215,2,2bfe9f80377e670fec89a36997162020,218145.66666665676,132038.7983082236,229822.01716294512,146057404,283000.9409385319,247018.31661662448,917351.3333333432,0.3076136363636364,431928.5,1241177,-556699.4444444478,0.2999,261903.8217650437,145564996,0.301,0.3169,145560772,0.308,217517.99300083457
lab__4213__noise0__scan00,lab,4213,0,2bfe9f80377e670fec89a36997162020,144785.55555555224,106368.8566062998,149906.2127876657,145850708,246359.68214219945,240081.7547165301,816521.3888888955,0.2894521739130435,401356.5,1065200,-433042.5555555522,0.287,265284.77932027203,145327652,0.2863,0.2873333333333333,145315316,0.2863,338991.4250675573
lab__4213__noise0__scan01,lab,4213,0,2bfe9f80377e670fec89a36997162020,148056.8888888955,107947.47472768028,167859.04074771726,145601868,249112.7396433867,237661.3234005944,832622.7555555403,0.2882565217391304,421568.0,1102480,-432056.1111111045,0.2885,261751.20652173168,145054508,0.2879,0.2923111111111111,145042124,0.2874,354136.83921513153
lab__4213__noise1__scan00,lab,4213,1,2bfe9f80377e670fec89a36997162020,122808.11111110447,110894.54372519373,58988.34149732786,146553852,249776.2427888984,242670.67388213013,837615.1555555463,0.3042304347826088,393009.0,1097852,-368292.777777791,0.3004,258054.09389639297,146065800,0.3008,0.3061999999999999,146040236,0.3018,331667.2696925841
lab__4213__noise1__scan01,lab,4213,1,2bfe9f80377e670fec89a36997162020,175442.33333334327,127521.93584290853,191737.5570478935,146781556,246549.13756063976,236367.5196063956,842195.6888889074,0.2959130434782607,365442.0,1283691,-412303.66666665673,0.2968,261638.9261539472,146305104,0.2959,0.2979666666666666,146290797,0.3011,350899.99657983525
lab__4213__noise2__scan00,lab,4213,2,2bfe9f80377e670fec89a36997162020,150547.55555555224,104337.31410360998,226666.7084526583,146765202,259582.7905037324,242970.01596689876,847029.777777791,0.3070727272727273,397067.0,1314375,-527820.5555555522,0.3177,266047.089159062,146275194,0.30625,0.3089444444444444,146263170,0.307,312433.3430388704
lab__4213__noise2__scan01,lab,4213,2,2bfe9f80377e670fec89a36997162020,145235.77777779102,125356.15271711958,56487.518757803686,146576342,258230.7966528548,255106.81840408724,847103.2333333492,0.3137695652173912,408884.0,1182831,-369347.8888888955,0.316,277056.7747624213,146070204,0.312,0.3116111111111111,146054548,0.3168,376197.6608033024
lab__4214__noise0__scan00,lab,4214,0,2bfe9f80377e670fec89a36997162020,146983.1111111045,101065.7184340716,87886.44671891129,144678580,254117.5332574085,215856.2469077013,868443.4444444478,0.2930818181818182,436400.0,958992,115038.77777776122,0.2964,199091.98898336195,144970820,0.2929799999999999,0.2942,144842724,0.2966,85199.77553149588
lab__4214__noise0__scan01,lab,4214,0,2bfe9f80377e670fec89a36997162020,142265.0,103620.74924975829,206399.4347469677,145897542,265318.05676703894,228711.83026261083,776767.7777777612,0.3451608695652174,445855.0,1012284,129109.77777776122,0.3445,195105.2773009852,146164806,0.3448,0.3461,146029542,0.3458,41665.27495275759
lab__4214__noise1__scan00,lab,4214,1,2bfe9f80377e670fec89a36997162020,128618.55555555224,100874.71789944696,93568.97654424347,146291732,268979.76419341203,215480.16762995048,919013.777777791,0.3517173913043478,406394.0,1090607,119184.66666665672,0.3416,206034.6471360965,146571560,0.3418,0.3489777777777778,146435764,0.3437,109620.5038682134
lab__4214__noise1__scan01,lab,4214,1,2bfe9f80377e670fec89a36997162020,177603.8888888955,112702.69506543856,123893.87739142982,146301188,263989.302720567,212407.4758752104,940241.0,0.3476391304347825,441747.0,1215188,140494.44444444776,0.3551,211219.8376863754,146577504,0.3466,0.3476444444444444,146447880,0.3519,38371.08609485488
lab__4214__noise2__scan00,lab,4214,2,2bfe9f80377e670fec89a36997162020,150814.3333333135,106566.2159707174,115612.0386453928,146045098,275064.7712691402,218534.80085240968,932249.5555555522,0.2894913043478261,440553.0,1169155,178251.44444444776,0.2927,218609.99081431545,146344088,0.2873,0.2926,146191388,0.3064,45285.19010411055
lab__4214__noise2__scan01,lab,4214,2,2bfe9f80377e670fec89a36997162020,173113.44444444776,116459.91251105754,95097.05119899251,146245416,270147.2885069085,209225.9704059024,914208.8888888956,0.2952086956521738,448515.0,1031850,159306.22222220898,0.3118,199681.6369422556,146518754,0.2948,0.3140555555555556,146390564,0.2962,37303.76979592886
lab__privateeyelab__noise0__scan00,lab,privateeyelab,0,2bfe9f80377e670fec89a36997162020,138876.8888888955,122535.48057336672,243874.26566759576,146325602,298160.5100695096,240390.41582485609,919448.8888888956,0.2886826086956521,509433.0,1097512,135541.55555555224,0.2898,214673.27827494184,146621840,0.2884,0.2931333333333333,146470240,0.2899,43640.58804075869
lab__privateeyelab__noise0__scan01,lab,privateeyelab,0,2bfe9f80377e670fec89a36997162020,137745.77777779102,102593.4340266654,205448.1514785633,145205972,284124.21365912,225098.27969587196,874280.8888888955,0.2871130434782609,462595.5,1024752,129188.55555558205,0.2831,193654.6217602135,145489572,0.2831,0.2851666666666667,145353947,0.2826,38291.61474143096
lab__privateeyelab__noise1__scan00,lab,privateeyelab,1,2bfe9f80377e670fec89a36997162020,149162.44444444776,125902.38737951544,262294.49937040044,146091360,296015.778658216,240171.57840876616,832262.8888888955,0.2947227272727272,459708.0,1090767,60990.11111113429,0.2983,232299.7076603912,146391816,0.28864,0.2976,146247320,0.289,121660.18854240216
lab__privateeyelab__noise1__scan01,lab,privateeyelab,1,2bfe9f80377e670fec89a36997162020,120560.11111113428,110574.74837606912,253949.90879118184,146227428,298513.1181770601,231547.44112359424,910712.4444444478,0.2935652173913043,532178.0,1082310,125592.88888889553,0.3061,214110.80895498948,146500938,0.2942,0.2986444444444444,146370412,0.3006,37906.450987518416
lab__privateeyelab__noise2__scan00,lab,privateeyelab,2,2bfe9f80377e670fec89a36997162020,145593.22222223878,104171.68881604631,255225.7771305002,146074450,285263.75457367307,231081.1452909898,815334.0,0.3012363636363636,481136.5,1033794,136171.1111111343,0.2973,218655.24291336627,146362744,0.2934,0.2938666666666666,146222088,0.2949,36814.97578130098
lab__privateeyelab__noise2__scan01,lab,privateeyelab,2,2bfe9f80377e670fec89a36997162020,198168.55555558205,116735.0662484365,247568.9167395683,146171388,299439.9203540269,234517.67703357415,856599.5555555522,0.2991227272727273,510013.0,1075470,135408.22222220898,0.3366,216758.37348773607,146445798,0.2952,0.2946222222222222,146299354,0.3201,40039.424149483246
